"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Genus","Active Growth Period","Flower Color","Growth Rate","Height, Mature (feet)","Lifespan","Shape and Orientation","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)"
"ACLEL","","Achnatherum lemmonii var. lemmonii","Lemmon's needlegrass","Achnatherum","Spring, Summer, Fall","Yellow","Slow","3.0","Moderate","Semi-Erect","10","20","12","Intolerant","-28"
"ACLE9","","Achnatherum lettermanii","Letterman's needlegrass","Achnatherum","Spring, Summer, Fall","Yellow","Slow","2.0","Moderate","Semi-Erect","6","20","12","Intolerant","-28"
"AGCR","","Agropyron cristatum","crested wheatgrass","Agropyron","Spring and Fall","Yellow","Rapid","3.0","Long","Erect","10","24","10","Intolerant","-43"
"AGDE2","","Agropyron desertorum","desert wheatgrass","Agropyron","Spring and Fall","Yellow","Rapid","3.0","Long","Erect","6","25","15","Intolerant","-43"
"AGCA4","","Agrostis canina","velvet bentgrass","Agrostis","Spring and Summer","Yellow","Moderate","1.5","Short","Erect","32","60","12","Intolerant","-23"
"AGCA5","","Agrostis capillaris","colonial bentgrass","Agrostis","Spring and Summer","Yellow","Rapid","2.0","Short","Erect","32","60","12","Intolerant","-53"
"AGEX","","Agrostis exarata","spike bentgrass","Agrostis","Spring, Summer, Fall","Yellow","Moderate","3.0","Moderate","Erect","6","30","10","Intolerant","-38"
"AGGI2","","Agrostis gigantea","redtop","Agrostis","Spring and Summer","Yellow","Rapid","2.0","Short","Erect","30","60","20","Intolerant","-38"
"AGHY","","Agrostis hyemalis","winter bentgrass","Agrostis","Spring, Summer, Fall","Green","Moderate","3.5","Short","Erect","20","45","8","Intermediate","-33"
"AGPA8","","Agrostis pallens","seashore bentgrass","Agrostis","Spring and Summer","Green","Moderate","2.0","Short","Erect","12","18","8","Intermediate","-23"
"AGST2","","Agrostis stolonifera","creeping bentgrass","Agrostis","Summer","Yellow","Moderate","2.0","Short","Erect","30","60","12","Intolerant","-43"
"ALAE","","Alopecurus aequalis","shortawn foxtail","Alopecurus","Spring and Summer","Green","Moderate","2.5","Short","Decumbent","18","45","6","Intermediate","-38"
"ALCA4","","Alopecurus carolinianus","Carolina foxtail","Alopecurus","Spring","Green","Moderate","1.7","","Erect","15","60","12","Intolerant","-43"
"ALGE2","","Alopecurus geniculatus","water foxtail","Alopecurus","Spring","Green","Moderate","2.0","Short","Erect","20","45","12","Intolerant","-43"
"ALMA8","","Alopecurus magellanicus","Alpine Meadow-Foxtail","Alopecurus","","","","","","","","","","",""
"ALMA8","ALAL2","Alopecurus alpinus","","Alopecurus","Spring and Summer","White","Moderate","0.5","Short","Semi-Erect","10","24","6","Intermediate","-33"
"ALMY","","Alopecurus myosuroides","slender meadow foxtail","Alopecurus","Spring","Green","Moderate","2.3","","Decumbent","35","55","12","Intolerant","-28"
"AMAR4","","Ammophila arenaria","European beachgrass","Ammophila","Spring and Fall","Yellow","Moderate","2.0","Moderate","Erect","30","60","20","Intolerant","7"
"AMBR","","Ammophila breviligulata","American beachgrass","Ammophila","Spring, Summer, Fall","Yellow","Rapid","2.5","Moderate","Erect","35","60","20","Intolerant","-28"
"ANGL2","","Andropogon glomeratus","bushy bluestem","Andropogon","Summer","White","Moderate","6.3","Moderate","Erect","35","70","12","Intolerant","-23"
"ARFU2","","Arctophila fulva","pendantgrass","Arctophila","Spring and Summer","Brown","Moderate","2.0","Short","Erect","8","16","12","Intolerant","-40"
"ARDO4","","Arundo donax","giant reed","Arundo","Spring, Summer, Fall","","Rapid","9.0","Moderate","Erect","35","65","24","Intermediate","7"
"AVST2","","Avena strigosa","black oats","Avena","Spring and Summer","","","2.0","","Erect","","","12","Intolerant",""
"AXCO","","Axonopus compressus","broadleaf carpetgrass","Axonopus","Spring and Summer","White","Moderate","1.0","Short","Decumbent","40","100","12","Intolerant","-3"
"BESY","","Beckmannia syzigachne","American sloughgrass","Beckmannia","Spring and Summer","Yellow","Moderate","3.0","","Erect","30","60","16","Intermediate","-33"
"BOISI","","Bothriochloa ischaemum var. ischaemum","yellow bluestem","Bothriochloa","Summer","","Rapid","2.0","Short","Semi-Erect","18","48","12","Intolerant","-3"
"BOPE2","","Bothriochloa pertusa","pitted beardgrass","Bothriochloa","Spring and Summer","Yellow","Rapid","3.0","Moderate","Decumbent","20","80","12","Intolerant","17"
"BOSA","","Bothriochloa saccharoides","silver bluestem","Bothriochloa","Summer","","Moderate","2.0","Short","Semi-Erect","10","48","12","Intolerant","-23"
"BOCU","","Bouteloua curtipendula","sideoats grama","Bouteloua","Summer","Yellow","Moderate","3.0","Moderate","Erect","6","25","12","Intolerant","7"
"BODA2","","Bouteloua dactyloides","buffalograss","Bouteloua","","","","","","","","","","",""
"BODA2","BUDA","Buchloe dactyloides","","Buchloe","Summer","Yellow","Moderate","0.5","Long","Decumbent","7","32","12","Intolerant","-38"
"BOGR2","","Bouteloua gracilis","blue grama","Bouteloua","Summer","","Rapid","0.5","Moderate","Decumbent","8","40","16","Intolerant","-43"
"BOHI2","","Bouteloua hirsuta","hairy grama","Bouteloua","Summer","","Moderate","0.5","Long","Decumbent","7","30","16","Intolerant","-38"
"BRBI2","","Bromus biebersteinii","meadow brome","Bromus","Spring, Summer, Fall","Yellow","Rapid","4.0","Moderate","Erect","15","30","14","Intolerant","-38"
"BRIN2","","Bromus inermis","smooth brome","Bromus","Spring, Summer, Fall","Yellow","Rapid","4.5","Long","Semi-Erect","24","60","12","Intolerant","-38"
"BRVU","","Bromus vulgaris","Columbia brome","Bromus","Summer","Yellow","Moderate","1.0","Moderate","Decumbent","11","20","8","Tolerant","-23"
"CABR","","Calamagrostis breweri","shorthair reedgrass","Calamagrostis","Spring and Summer","Yellow","Moderate","5.0","Long","Erect","24","60","10","Intolerant","-28"
"CARU","","Calamagrostis rubescens","pinegrass","Calamagrostis","Spring and Summer","Yellow","Slow","3.0","Moderate","Semi-Erect","16","26","7","Tolerant","-28"
"CASTI3","","Calamagrostis stricta ssp. inexpansa","northern reedgrass","Calamagrostis","Spring and Summer","Purple","Moderate","3.0","Long","Erect","26","60","7","Intermediate","-38"
"CASTS5","","Calamagrostis stricta ssp. stricta","slimstem reedgrass","Calamagrostis","Spring and Summer","Yellow","Moderate","3.0","Long","Erect","24","60","7","Intermediate","-43"
"CALO","","Calamovilfa longifolia","prairie sandreed","Calamovilfa","Spring and Summer","Yellow","Moderate","6.0","Moderate","Erect","12","28","20","Intolerant","-43"
"CHLA5","","Chasmanthium latifolium","Indian woodoats","Chasmanthium","Spring","Green","Moderate","4.6","Moderate","Erect","24","65","10","Tolerant","-33"
"CHLA6","","Chasmanthium laxum","slender woodoats","Chasmanthium","Spring","Green","Moderate","3.3","Moderate","Erect","35","60","10","Tolerant","-33"
"CHSE2","","Chasmanthium sessiliflorum","longleaf woodoats","Chasmanthium","Spring and Summer","Yellow","Moderate","5.0","Moderate","Erect","32","60","12","Intolerant","-3"
"COCY","","Coelorachis cylindrica","cylinder jointtail grass","Coelorachis","Spring","Green","Moderate","3.2","Moderate","Erect","30","60","6","Intermediate","-23"
"CYDA","","Cynodon dactylon","Bermudagrass","Cynodon","Summer and Fall","","Rapid","1.5","Moderate","Decumbent","36","60","14","Intolerant","-13"
"DACA3","","Danthonia californica","California oatgrass","Danthonia","Fall, Winter and Spring","","Moderate","2.0","Short","Erect","6","40","16","Intolerant","17"
